0.00000000000000e+00    	0.00000000000000e+00 	 3.09016994370000e-01  	-9.51056516300000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.52000000000000e+00    	2.23983603314097e-05 	 3.09082638790296e-01   -9.51055727543872e-01 	8.65686316524040e-04	 -2.58117125125823e-03	2.43533977502449e-06		1.00000370592501e+00
2.55000000000000e+00    	4.87167853686743e-05 	 3.09001881795692e-01   -9.51055648155286e-01 	8.83766878411596e-04	 -2.78875647010981e-03	2.86638051954523e-06		1.00000427909823e+00
2.58000000000000e+00    	7.51045191453631e-05 	 3.08916211458484e-01   -9.51055555149735e-01 	8.69920124242835e-04	 -2.90669216135377e-03	3.33836540868118e-06		1.00000460280515e+00
2.61000000000000e+00    	1.00574472694228e-04 	 3.08828487008148e-01   -9.51055447762246e-01 	8.22385779696177e-04	 -2.92413817858756e-03	3.81943000507937e-06		1.00000461344788e+00
2.64000000000000e+00    	1.24104718060791e-04 	 3.08741846910273e-01   -9.51055326248907e-01 	7.40623521898603e-04	 -2.83341232572384e-03	4.27415431965383e-06		1.00000428837424e+00
2.67000000000000e+00    	1.44676843983885e-04 	 3.08659606154980e-01   -9.51055191917694e-01 	6.25422552677502e-04	 -2.63050597328558e-03	4.66876136426481e-06		1.00000365536174e+00
2.70000000000000e+00    	1.61316857635813e-04 	 3.08585139699105e-01   -9.51055046994207e-01 	4.78960465082667e-04	 -2.31548742481270e-03	4.97679723594841e-06		1.00000279545105e+00
2.73000000000000e+00    	1.73137009347864e-04 	 3.08521755783060e-01   -9.51054894320115e-01 	3.04804936012981e-04	 -1.89276977916857e-03	5.18445557309814e-06		1.00000183775349e+00
2.76000000000000e+00    	1.79376761749787e-04 	 3.08472563485909e-01   -9.51054736908422e-01 	1.07854456351771e-04	 -1.37122389959788e-03	5.29465103183865e-06		1.00000094595735e+00
2.79000000000000e+00    	1.79441056338045e-04 	 3.08440339394880e-01   -9.51054577405726e-01 	-1.05782571501284e-04	 -7.64121968099974e-04	5.32902435016425e-06		1.00000029755032e+00
2.82000000000000e+00    	1.72934059289952e-04 	 3.08427398619348e-01   -9.51054417533182e-01 	-3.28967704998002e-04	 -8.89028783010252e-05	5.32728133831549e-06		1.00000005807592e+00
2.85000000000000e+00    	1.59686697214221e-04 	 3.08435475548128e-01   -9.51054257590952e-01 	-5.53765352317267e-04	 6.33242735931950e-04	5.34361329369058e-06		1.00000035384043e+00
2.88000000000000e+00    	1.39776517217474e-04 	 3.08465619711393e-01   -9.51054096112163e-01 	-7.71719769329430e-04	 1.37796291045344e-03	5.44037789409528e-06		1.00000124718061e+00
2.91000000000000e+00    	1.13538710885587e-04 	 3.08518111849579e-01   -9.51053929740103e-01 	-9.74164857324867e-04	 2.11849779705916e-03	5.67967935097526e-06		1.00000271852748e+00
2.94000000000000e+00    	8.15675083093462e-05 	 3.08592404804485e-01   -9.51053753376780e-01 	-1.15255383074910e-03	 2.82657620516260e-03	6.11390396722135e-06		1.00000465896453e+00
2.97000000000000e+00    	4.47075510454154e-05 	 3.08687093135673e-01   -9.51053560614349e-01 	-1.29879507562272e-03	 3.47342802729663e-03	6.77656930386443e-06		1.00000687578478e+00
3.00000000000000e+00    	4.03526479670638e-06 	 3.08799914442388e-01   -9.51053344417828e-01 	-1.40558065632983e-03	 4.03087869248681e-03	7.67496825772590e-06		1.00000911180795e+00
3.03000000000000e+00    	-3.91693522453402e-05 	 3.08927784263526e-01   -9.51053097983944e-01 	-1.46669485431011e-03	 4.47248614200700e-03	8.78599083012545e-06		1.00001107714029e+00
3.06000000000000e+00    	-8.34597524849617e-05 	 3.09066865172436e-01   -9.51052815663911e-01 	-1.47729164705624e-03	 4.77467652062509e-03	1.00561743345727e-05		1.00001248993581e+00
3.09000000000000e+00    	-1.27267596209813e-04 	 3.09212669326023e-01   -9.51052493814083e-01 	-1.43413190468110e-03	 4.91783213548638e-03	1.14064919962856e-05		1.00001312088259e+00
3.12000000000000e+00    	-1.68953920200789e-04 	 3.09360192322796e-01   -9.51052131433184e-01 	-1.33577301429832e-03	 4.88728450060068e-03	1.27417021799599e-05		1.00001283491848e+00
3.15000000000000e+00    	-2.06865205240321e-04 	 3.09504074830840e-01   -9.51051730461282e-01 	-1.18270538189318e-03	 4.67416661677784e-03	1.39633390628646e-05		1.00001162334273e+00
3.18000000000000e+00    	-2.39392687083993e-04 	 3.09638787125477e-01   -9.51051295653753e-01 	-9.77431618194874e-04	 4.27608209169915e-03	1.49847433833456e-05		1.00000962019131e+00
3.21000000000000e+00    	-2.65033145207738e-04 	 3.09758830487947e-01   -9.51050833999704e-01 	-7.24485106499253e-04	 3.69755422856903e-03	1.57460252843140e-05		1.00000709849175e+00
3.24000000000000e+00    	-2.82449312003532e-04 	 3.09858948418343e-01   -9.51050353721737e-01 	-4.30385121443733e-04	 2.95022563782290e-03	1.62266212761947e-05		1.00000444465311e+00
3.27000000000000e+00    	-2.90527961663525e-04 	 3.09934339860399e-01   -9.51049862963301e-01 	-1.03525891315896e-04	 2.05278798048160e-03	1.64532214732022e-05		1.00000211246117e+00
3.30000000000000e+00    	-2.88433659747376e-04 	 3.09980866166397e-01   -9.51049368330302e-01 	2.46002750136718e-04	 1.03063176363988e-03	1.65013208700389e-05		1.00000056149558e+00
3.33000000000000e+00    	-2.75656088176406e-04 	 3.09995243381427e-01   -9.51048873494737e-01 	6.06664857156077e-04	 -8.47827703861930e-05	1.64894525410976e-05		1.00000018775112e+00
3.36000000000000e+00    	-2.52048823400981e-04 	 3.09975211617857e-01   -9.51048378081275e-01 	9.65798427351564e-04	 -1.25682119242158e-03	1.65661981914891e-05		1.00000125631949e+00
3.39000000000000e+00    	-2.17857463963798e-04 	 3.09919673828669e-01   -9.51047877037919e-01 	1.31000415822556e-03	 -2.44481319685168e-03	1.68912027912011e-05		1.00000384674649e+00
3.42000000000000e+00    	-1.73735109240982e-04 	 3.09828797160713e-01   -9.51047360638833e-01 	1.62559768425703e-03	 -3.60539952889136e-03	1.76124767774319e-05		1.00000782086131e+00
3.45000000000000e+00    	-1.20743415573360e-04 	 3.09704071246934e-01   -9.51046815185892e-01 	1.89911569547488e-03	 -4.69404411930123e-03	1.88430788287093e-05		1.00001282044066e+00
3.48000000000000e+00    	-6.03378251780484e-05 	 3.09548319235798e-01   -9.51046224375348e-01 	2.11786121455850e-03	 -5.66666034563892e-03	2.06406844266147e-05		1.00001829823340e+00
3.51000000000000e+00    	5.66390887925235e-06 	 3.09365658998937e-01   -9.51045571190808e-01 	2.27046791300543e-03	 -6.48129454001897e-03	2.29934584090992e-05		1.00002358108804e+00
3.54000000000000e+00    	7.51300946188033e-05 	 3.09161413739546e-01   -9.51044840089187e-01 	2.34745830588106e-03	 -7.09980609675293e-03	2.58150295754987e-05		1.00002795884591e+00
3.57000000000000e+00    	1.45679745963137e-04 	 3.08941973076777e-01   -9.51044019177957e-01 	2.34176668818019e-03	 -7.48948184484101e-03	2.89502569379064e-05		1.00003078804987e+00
3.60000000000000e+00    	2.14761969013149e-04 	 3.08714607540892e-01   -9.51043102052803e-01 	2.24919545917000e-03	 -7.62452269418685e-03	3.21920034137825e-05		1.00003159613227e+00
3.63000000000000e+00    	2.79747621350487e-04 	 3.08487241222171e-01   -9.51042088982992e-01 	2.06877360346920e-03	 -7.48734283971772e-03	3.53074825777322e-05		1.00003017023170e+00
3.66000000000000e+00    	3.38029883246329e-04 	 3.08268189023050e-01   -9.51040987199103e-01 	1.80298892681304e-03	 -7.06962590082619e-03	3.80711498535520e-05		1.00002661556024e+00
3.69000000000000e+00    	3.87129611490115e-04 	 3.08065866523372e-01   -9.51039810148983e-01 	1.45787126191318e-03	 -6.37308819613389e-03	4.02998165461593e-05		1.00002137140456e+00
3.72000000000000e+00    	4.24800781015012e-04 	 3.07888481840798e-01   -9.51038575730348e-01 	1.04291201764104e-03	 -5.40990686360998e-03	4.18848971959731e-05		1.00001517814086e+00
3.75000000000000e+00    	4.49131023604617e-04 	 3.07743720008258e-01   -9.51037303664038e-01 	5.70815562308798e-04	 -4.20277973600478e-03	4.28166256994893e-05		1.00000899547013e+00
3.78000000000000e+00    	4.58632293838182e-04 	 3.07638431247889e-01   -9.51036012318289e-01 	5.70891359909482e-05	 -2.78459478879725e-03	4.31957752098604e-05		1.00000387953907e+00
3.81000000000000e+00    	4.52317049707492e-04 	 3.07578335039696e-01   -9.51034715408479e-01 	-4.80510804496219e-04	 -1.19769957217233e-03	4.32298653397607e-05		1.00000083362151e+00
3.84000000000000e+00    	4.29756015905712e-04 	 3.07567752003131e-01   -9.51033419057888e-01 	-1.02264786110418e-03	 5.07224803048383e-04	4.32128960588299e-05		1.00000065247629e+00
3.87000000000000e+00    	3.91114553977182e-04 	 3.07609375274140e-01   -9.51032119698316e-01 	-1.54915487600996e-03	 2.27266512064998e-03	4.34900609400997e-05		1.00000378338233e+00
3.90000000000000e+00    	3.37165815712857e-04 	 3.07704092225414e-01   -9.51030803208914e-01 	-2.03982270582726e-03	 4.03611673239237e-03	4.44113298379472e-05		1.00001022649137e+00
3.93000000000000e+00    	2.69280100345798e-04 	 3.07850866024372e-01   -9.51029445542112e-01 	-2.47518737929296e-03	 5.73221093036264e-03	4.62798780627564e-05		1.00001949327828e+00
3.96000000000000e+00    	1.89391055930495e-04 	 3.08046684665203e-01   -9.51028014883199e-01 	-2.83727730440853e-03	 7.29506100659304e-03	4.93027141973241e-05		1.00003063477493e+00
3.99000000000000e+00    	9.99404476426324e-05 	 3.08286582799276e-01   -9.51026475160930e-01 	-3.11028839829556e-03	 8.66074528151696e-03	5.35512334429844e-05		1.00004234173883e+00
4.02000000000000e+00    	3.80406718642435e-06 	 3.08563739009578e-01   -9.51024790503515e-01 	-3.28116363848947e-03	 9.76983444355402e-03	5.89386377650261e-05		1.00005310817658e+00
4.05000000000000e+00    	-9.57980809356800e-05 	 3.08869648245634e-01   -9.51022930052644e-01 	-3.34006330316687e-03	 1.05698632425215e-02	6.52192268329983e-05		1.00006143925530e+00
4.08000000000000e+00    	-1.95403923374580e-04 	 3.09194366089294e-01   -9.51020872439898e-01 	-3.28072162548722e-03	 1.10176435886018e-02	7.20116684060351e-05		1.00006607621212e+00
4.11000000000000e+00    	-2.91420413510998e-04 	 3.09526818497081e-01   -9.51018609218385e-01 	-3.10069332384928e-03	 1.10813178289664e-02	7.88448683817005e-05		1.00006620586861e+00
4.14000000000000e+00    	-3.80240410629556e-04 	 3.09855167793974e-01   -9.51016146638222e-01 	-2.80149835103400e-03	 1.07420575176807e-02	8.52214721445548e-05		1.00006162182909e+00
4.17000000000000e+00    	-4.58362476820536e-04 	 3.10167223096072e-01   -9.51013505352143e-01 	-2.38867457249126e-03	 9.99532419181297e-03	9.06908926496488e-05		1.00005280885399e+00
4.20000000000000e+00    	-5.22511004156552e-04 	 3.10450881120958e-01   -9.51010717915379e-01 	-1.87174589003271e-03	 8.85162409845580e-03	9.49216053848574e-05		1.00004093100831e+00
