0.00000000000000e+00    	0.00000000000000e+00 	 5.87785252290000e-01  	8.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.27000000000000e+00    	1.45856906498371e-04 	 5.87681289074776e-01   8.09012774795195e-01 	-1.43115340928854e-03	 -5.82488673312676e-03	-9.06656047023099e-06		1.00001798863207e+00
3.30000000000000e+00    	9.94342845317797e-05 	 5.87504446173302e-01   8.09012481143347e-01 	-1.65656571693285e-03	 -5.93046388342820e-03	-1.05648658241628e-05		1.00001895718204e+00
3.33000000000000e+00    	4.69463983141615e-05 	 5.87327595250740e-01   8.09012138134344e-01 	-1.83385756540660e-03	 -5.82354629882709e-03	-1.23397298719400e-05		1.00001863826497e+00
3.36000000000000e+00    	-1.00204974447697e-05 	 5.87157242322305e-01   8.09011739244352e-01 	-1.95373478435377e-03	 -5.49664217139190e-03	-1.42664349436189e-05		1.00001701503439e+00
3.39000000000000e+00    	-6.96233487188781e-05 	 5.87000000322137e-01   8.09011282192837e-01 	-2.00843817001545e-03	 -4.95021087865763e-03	-1.61897677779726e-05		1.00001426923506e+00
3.42000000000000e+00    	-1.29814278466713e-04 	 5.86862343820334e-01   8.09010769561414e-01 	-1.99213640184277e-03	 -4.19306889552599e-03	-1.79446284939404e-05		1.00001077532005e+00
3.45000000000000e+00    	-1.88403892425236e-04 	 5.86750356077163e-01   8.09010208730662e-01 	-1.90128528560808e-03	 -3.24248787122683e-03	-1.93803985016671e-05		1.00000706446951e+00
3.48000000000000e+00    	-2.43134632673930e-04 	 5.86669477986900e-01   8.09009611070816e-01 	-1.73493419659610e-03	 -2.12396449999911e-03	-2.03857038523322e-05		1.00000376081165e+00
3.51000000000000e+00    	-2.91762289620941e-04 	 5.86624268901566e-01   8.09008990430750e-01 	-1.49495869837851e-03	 -8.70654703847232e-04	-2.09097911296378e-05		1.00000149668805e+00
3.54000000000000e+00    	-3.32143135646708e-04 	 5.86618189361408e-01   8.09008361082597e-01 	-1.18619784490271e-03	 4.77521369015956e-04	-2.09768641814082e-05		1.00000081776567e+00
