7.70000000000000e-01    	-3.62570352537582e-07 	 2.99999869918106e+00   0.00000000000000e+00 	-1.76065420179567e-06	 -4.90231778732313e-05	0.00000000000000e+00		1.00000000120319e+00
7.80000000000000e-01    	-3.80042971123757e-07 	 2.99999818543903e+00   0.00000000000000e+00 	-1.73179168933141e-06	 -5.37476293776244e-05	0.00000000000000e+00		1.00000000144590e+00
7.90000000000000e-01    	-3.97163331121591e-07 	 2.99999762381092e+00   0.00000000000000e+00 	-1.69007356380509e-06	 -5.85972802692727e-05	0.00000000000000e+00		1.00000000171825e+00
8.00000000000000e-01    	-4.13799058760440e-07 	 2.99999701314155e+00   0.00000000000000e+00 	-1.63474152296601e-06	 -6.35524270603722e-05	0.00000000000000e+00		1.00000000202079e+00
8.10000000000000e-01    	-4.29810365405164e-07 	 2.99999635248299e+00   0.00000000000000e+00 	-1.56507203907382e-06	 -6.85913248437903e-05	0.00000000000000e+00		1.00000000235361e+00
8.20000000000000e-01    	-4.45050429787535e-07 	 2.99999564111489e+00   0.00000000000000e+00 	-1.48038327455440e-06	 -7.36902052811638e-05	0.00000000000000e+00		1.00000000271622e+00
8.30000000000000e-01    	-4.59365849875308e-07 	 2.99999487856459e+00   0.00000000000000e+00 	-1.38004208669693e-06	 -7.88233090252863e-05	0.00000000000000e+00		1.00000000310751e+00
8.40000000000000e-01    	-4.72597165050012e-07 	 2.99999406462677e+00   0.00000000000000e+00 	-1.26347107713299e-06	 -8.39629330353902e-05	0.00000000000000e+00		1.00000000352569e+00
8.50000000000000e-01    	-4.84579448810828e-07 	 2.99999319938261e+00   0.00000000000000e+00 	-1.13015563967485e-06	 -8.90794931634010e-05	0.00000000000000e+00		1.00000000396822e+00
8.60000000000000e-01    	-4.95142971748029e-07 	 2.99999228321823e+00   0.00000000000000e+00 	-9.79650958192195e-07	 -9.41416023034106e-05	0.00000000000000e+00		1.00000000443180e+00
8.70000000000000e-01    	-5.04113934037927e-07 	 2.99999131684222e+00   0.00000000000000e+00 	-8.11588904601812e-07	 -9.91161643058671e-05	0.00000000000000e+00		1.00000000491234e+00
8.80000000000000e-01    	-5.11315266205328e-07 	 2.99999030130226e+00   0.00000000000000e+00 	-6.25684785755663e-07	 -1.03968483762754e-04	0.00000000000000e+00		1.00000000540492e+00
8.90000000000000e-01    	-5.16567496382284e-07 	 2.99998923800045e+00   0.00000000000000e+00 	-4.21743887061750e-07	 -1.08662391670823e-04	0.00000000000000e+00		1.00000000590385e+00
9.00000000000000e-01    	-5.19689681767029e-07 	 2.99998812870735e+00   0.00000000000000e+00 	-1.99667760078885e-07	 -1.13160386877234e-04	0.00000000000000e+00		1.00000000640266e+00
9.10000000000000e-01    	-5.20500401457952e-07 	 2.99998697557458e+00   0.00000000000000e+00 	4.05397988930570e-08	 -1.17423793106365e-04	0.00000000000000e+00		1.00000000689417e+00
9.20000000000000e-01    	-5.18818807308208e-07 	 2.99998578114564e+00   0.00000000000000e+00 	2.98767132037831e-07	 -1.21412931258571e-04	0.00000000000000e+00		1.00000000737059e+00
9.30000000000000e-01    	-5.14465728920958e-07 	 2.99998454836511e+00   0.00000000000000e+00 	5.74789517307453e-07	 -1.25087306562003e-04	0.00000000000000e+00		1.00000000782358e+00
9.40000000000000e-01    	-5.07264828387276e-07 	 2.99998328058573e+00   0.00000000000000e+00 	8.68264431042682e-07	 -1.28405810047843e-04	0.00000000000000e+00		1.00000000824440e+00
