1.18800000000000e+01    	-1.18799985149989e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -3.70801625251030e-14	-1.79474926539792e-28		2.00000024999998e+03
1.20000000000000e+01    	-1.19999984999989e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -4.96577300641936e-13	-1.89919010714194e-28		2.00000024999998e+03
1.21200000000000e+01    	-1.21199984849989e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -2.52564918852887e-14	-2.00432326844048e-28		2.00000024999998e+03
1.22400000000000e+01    	-1.22399984699989e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 5.12621624602168e-13	-2.09938227720669e-28		2.00000024999998e+03
1.23600000000000e+01    	-1.23599984549989e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 9.20323358027278e-14	-2.23093612149280e-28		2.00000024999998e+03
1.24800000000000e+01    	-1.24799984399988e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -5.20008305494465e-13	-2.31500661810184e-28		2.00000024999998e+03
1.26000000000000e+01    	-1.25999984249988e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -1.62126446642693e-13	-2.47462452410330e-28		2.00000024999998e+03
1.27200000000000e+01    	-1.27199984099988e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 5.17990879143892e-13	-2.54735242881480e-28		2.00000024999998e+03
1.28400000000000e+01    	-1.28399983949988e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 2.34275005349125e-13	-2.73527439257489e-28		2.00000024999998e+03
1.29600000000000e+01    	-1.29599983799988e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -5.05994313019959e-13	-2.79779052378270e-28		2.00000024999998e+03
1.30800000000000e+01    	-1.30799983649988e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -3.07095876597885e-13	-3.01266431773900e-28		2.00000024999998e+03
1.32000000000000e+01    	-1.31999983499988e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 4.83635893086491e-13	-3.06771619061861e-28		2.00000024999998e+03
1.33200000000000e+01    	-1.33199983349987e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 3.79114600941233e-13	-3.30652132301424e-28		2.00000024999998e+03
1.34400000000000e+01    	-1.34399983199987e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -4.50744722017920e-13	-3.35848088175759e-28		2.00000024999998e+03
1.35600000000000e+01    	-1.35599983049987e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -4.48796267766500e-13	-3.61658626427370e-28		2.00000024999998e+03
1.36800000000000e+01    	-1.36799982899987e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 4.07374192932702e-13	-3.67131804190842e-28		2.00000024999998e+03
1.38000000000000e+01    	-1.37999982749987e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 5.14577555566734e-13	-3.94268222240948e-28		2.00000024999998e+03
1.39200000000000e+01    	-1.39199982599987e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -3.53811984096109e-13	-4.00726806192398e-28		2.00000024999998e+03
1.40400000000000e+01    	-1.40399982449987e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -5.74903216833157e-13	-4.28478103796141e-28		2.00000024999998e+03
1.41600000000000e+01    	-1.41599982299986e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 2.90582159369069e-13	-4.36710981927395e-28		2.00000024999998e+03
1.42800000000000e+01    	-1.42799982149986e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 6.28261136913739e-13	-4.64306030027274e-28		2.00000024999998e+03
1.44000000000000e+01    	-1.43999981999986e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -2.18444168189276e-13	-4.75130407322838e-28		2.00000024999998e+03
1.45200000000000e+01    	-1.45199981849986e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -6.73220126213516e-13	-5.01794564189459e-28		2.00000024999998e+03
1.46400000000000e+01    	-1.46399981699986e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 1.38383599641853e-13	-5.15995603412473e-28		2.00000024999998e+03
1.47600000000000e+01    	-1.47599981549986e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 7.08464500167904e-13	-5.41013201527424e-28		2.00000024999998e+03
1.48800000000000e+01    	-1.48799981399986e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -5.15997687094003e-14	-5.59280033381020e-28		2.00000024999998e+03
1.50000000000000e+01    	-1.49999981249985e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -7.32829577153138e-13	-5.82058076870230e-28		2.00000024999998e+03
1.51200000000000e+01    	-1.51199981099985e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -4.05147193185623e-14	-6.04921318576125e-28		2.00000024999998e+03
1.52400000000000e+01    	-1.52399980949985e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 7.45332166729973e-13	-6.25048989476137e-28		2.00000024999998e+03
