file	phi	r	period	raio_max	px_mean	x_final	eta
2447	07.52941936531165e-01	2.00000000000000e+00	6.06475999999879e+01	1.24204257075675e+00	-2.53519508111758e-01	-1.66943002000000e+02	1.19385039370078e+01
2448	06.46083994836222e-01	2.00000000000000e+00	5.97007999999881e+01	1.24405581106721e+00	-2.12889374118381e-01	-1.55397132000000e+02	1.17985770750988e+01
2449	03.84561649397204e-01	2.00000000000000e+00	5.82555999999883e+01	1.24161913430109e+00	-2.08158884441970e-01	-1.54284285000000e+02	1.16511199999999e+01
2450	05.67369731268116e-01	2.00000000000000e+00	5.87995999999883e+01	1.34212830028810e+00	-4.84944710527745e-02	-1.14077178000000e+02	1.11786311787072e+01
2451	0.87409748614639e+00	2.00000000000000e+00	5.61959999999888e+01	1.21549462271176e+00	-1.42584206500931e-01	-1.36649260000000e+02	1.13757085020242e+01
2452	0.04881695373243e+00	2.00000000000000e+00	5.52211999999890e+01	1.23096755164397e+00	-1.02244408474693e-01	-1.25995650000000e+02	1.12238211382113e+01
2453	03.12508718616306e+00	2.00000000000000e+00	5.44235999999892e+01	1.23139818174755e+00	-5.86170093503285e-02	-1.15068768000000e+02	1.11068571428571e+01
2454	02.97699904177016e+00	2.00000000000000e+00	5.35383999999893e+01	1.23285102326858e+00	-1.77447643954263e-02	-1.04682787000000e+02	1.09709836065573e+01
2455	02.91359241864845e+00	2.00000000000000e+00	5.25439999999895e+01	1.22499576188890e+00	5.91242247643645e-03	-9.90913857000000e+01	1.08561983471074e+01
2456	02.64658133289387e+00	2.00000000000000e+00	5.16739999999897e+01	1.22713511766263e+00	4.08699421300838e-02	-9.04235766000000e+01	1.07207468879668e+01
2457	01.39635514768008e+00	2.00000000000000e+00	5.06179999999898e+01	1.22157136789172e+00	6.77959340490558e-02	-8.39115271000000e+01	1.05454166666666e+01
2458	0.23666092958546e-01	2.00000000000000e+00	4.98331999999901e+01	1.22328904257351e+00	1.09494123137048e-01	-7.44615642000000e+01	1.04253556485355e+01
2459	0.57406145177851e-01	2.00000000000000e+00	4.91711999999902e+01	1.21703964876174e+00	1.55582760626007e-01	-6.39095107000000e+01	1.03300840336134e+01
2460	0.24157893570167e-01	2.00000000000000e+00	4.83823999999904e+01	1.21936890305244e+00	2.00238159203544e-01	-5.40344681000000e+01	1.02072573839662e+01
2461	0.27103005391178e+00	2.00000000000000e+00	4.76591999999904e+01	1.22325731057953e+00	2.38131984479727e-01	-4.59839412000000e+01	1.00972881355932e+01
2462	02.94573388927941e+00	2.00000000000000e+00	-1	-1	-1	-1	-1
2463	0.36353312312472e-01	2.00000000000000e+00	-1	-1	-1	-1	-1
2464	02.86254781338922e+00	2.00000000000000e+00	-1	-1	-1	-1	-1
2465	02.82057260139328e+00	2.00000000000000e+00	-1	-1	-1	-1	-1
2466	0.68496854358908e-01	2.00000000000000e+00	1.25807679999903e+03	1.94924453108126e+00	-1.31266778810822e+00	-7.29016598000000e+02	5.84608178438326e+01
2467	0.57902031963942e-01	2.00000000000000e+00	1.21969919999906e+03	1.90912197809852e+00	-1.30358927802178e+00	-7.20757907000000e+02	6.08025523429362e+01
2468	02.65758487935010e+00	2.00000000000000e+00	1.13930599999914e+03	1.87953713411826e+00	-1.29371834723600e+00	-7.12113812000000e+02	6.04727176220470e+01
2469	02.59969678237355e+00	2.00000000000000e+00	1.01884359999926e+03	1.85114316386468e+00	-1.28340250825222e+00	-7.03229492000000e+02	5.72384044943516e+01
2470	0.85832772323816e-01	2.00000000000000e+00	7.66760799999486e+02	1.82248998114171e+00	-1.27307507688757e+00	-6.94244103000000e+02	4.54242180094572e+01
2471	0.36082503297841e-01	2.00000000000000e+00	7.33567199999516e+02	1.79645956646814e+00	-1.26267688854955e+00	-6.85251388000000e+02	4.57907116104658e+01
2472	02.37188485849246e+00	2.00000000000000e+00	6.85088399999561e+02	1.77086119611783e+00	-1.25182701232019e+00	-6.76323646000000e+02	4.49533070865942e+01
2473	02.25553606406276e+00	2.00000000000000e+00	6.06551599999631e+02	1.74489382588491e+00	-1.24096034201160e+00	-6.67491584000000e+02	4.16587637362467e+01
2474	0.37239293524985e-01	2.00000000000000e+00	5.38537999999694e+02	1.72045874892776e+00	-1.23036913580574e+00	-6.58704928000000e+02	3.86325681491966e+01
2475	0.05891552207005e+00	2.00000000000000e+00	5.12658799999718e+02	1.69529667080010e+00	-1.21939533091487e+00	-6.49907949000000e+02	3.83726646706451e+01
2476	02.04555553353504e+00	2.00000000000000e+00	4.71552799999754e+02	1.67362391310231e+00	-1.20778400867612e+00	-6.41001601000000e+02	3.67252959501439e+01
2477	01.81073054463364e+00	2.00000000000000e+00	4.22501999999798e+02	1.65314140036924e+00	-1.19631402776255e+00	-6.31951389000000e+02	3.41277867528176e+01
2478	0.17074279711258e+00	2.00000000000000e+00	4.04521199999816e+02	1.63253368875474e+00	-1.18438054881365e+00	-6.22776624000000e+02	3.39363422818704e+01
