t	x	y	z	px	py	pz	gam	Ex	Ey	Ez	Bx	By	Bz
4.15000000e+00	-2.93449269e+00	1.99990397e+00	2.10499295e-08	-9.99999210e-01	-1.95362866e-03	6.29012521e-08	1.41421435e+00	0.00000000e+00	7.51611112e-03	0.00000000e+00	-5.98141845e-04	0.00000000e+00	7.51611112e-03
4.20000000e+00	-2.96984800e+00	1.99984956e+00	2.24708938e-08	-9.99999776e-01	-1.03901529e-03	1.77879752e-08	1.41421379e+00	0.00000000e+00	1.34657131e-02	0.00000000e+00	-1.07164802e-03	0.00000000e+00	1.34657131e-02
4.25000000e+00	-3.00520333e+00	1.99983490e+00	2.26517292e-08	-9.99999988e-01	2.44431961e-04	9.79193878e-10	1.41421357e+00	0.00000000e+00	1.59075232e-02	0.00000000e+00	-1.26598498e-03	0.00000000e+00	1.59075232e-02
4.30000000e+00	-3.04055866e+00	1.99986710e+00	2.32182499e-08	-9.99999504e-01	1.54804544e-03	3.94932648e-08	1.41421406e+00	0.00000000e+00	1.38750408e-02	0.00000000e+00	-1.10421403e-03	0.00000000e+00	1.38750408e-02
4.35000000e+00	-3.07591395e+00	1.99994010e+00	2.57463279e-08	-9.99998713e-01	2.49245268e-03	1.02385983e-07	1.41421485e+00	0.00000000e+00	7.64717027e-03	0.00000000e+00	-6.08560692e-04	0.00000000e+00	7.64717027e-03
4.40000000e+00	-3.11126919e+00	2.00003549e+00	2.99928888e-08	-9.99998403e-01	2.77678161e-03	1.27078216e-07	1.41421516e+00	0.00000000e+00	-1.24627410e-03	0.00000000e+00	9.91735964e-05	0.00000000e+00	-1.24627410e-03
4.45000000e+00	-3.14662445e+00	2.00012706e+00	3.39144567e-08	-9.99998931e-01	2.27241320e-03	8.51086771e-08	1.41421463e+00	0.00000000e+00	-1.03874178e-02	0.00000000e+00	8.26551946e-04	0.00000000e+00	-1.03874178e-02
4.50000000e+00	-3.18197975e+00	2.00018789e+00	3.57105624e-08	-9.99999762e-01	1.07257776e-03	1.89683461e-08	1.41421380e+00	0.00000000e+00	-1.71200150e-02	0.00000000e+00	1.36223953e-03	0.00000000e+00	-1.71200150e-02
4.55000000e+00	-3.21733508e+00	2.00019822e+00	3.58849413e-08	-9.99999944e-01	-5.19859058e-04	4.46364109e-09	1.41421362e+00	0.00000000e+00	-1.93138911e-02	0.00000000e+00	1.53679830e-03	0.00000000e+00	-1.93138911e-02
4.60000000e+00	-3.25269040e+00	2.00015166e+00	3.70131919e-08	-9.99999115e-01	-2.06703123e-03	7.04209556e-08	1.41421445e+00	0.00000000e+00	-1.60260671e-02	0.00000000e+00	1.27521719e-03	0.00000000e+00	-1.60260671e-02
4.65000000e+00	-3.28804565e+00	2.00005798e+00	4.11581287e-08	-9.99997990e-01	-3.11533261e-03	1.59952193e-07	1.41421557e+00	0.00000000e+00	-7.85620827e-03	0.00000000e+00	6.25159044e-04	0.00000000e+00	-7.85620827e-03
4.70000000e+00	-3.32340085e+00	1.99994132e+00	4.75055142e-08	-9.99997707e-01	-3.32713177e-03	1.82440210e-07	1.41421586e+00	0.00000000e+00	3.12869695e-03	0.00000000e+00	-2.48981124e-04	0.00000000e+00	3.12869695e-03
4.75000000e+00	-3.35875608e+00	1.99983405e+00	5.28970504e-08	-9.99998614e-01	-2.58700745e-03	1.10294991e-07	1.41421495e+00	0.00000000e+00	1.39058215e-02	0.00000000e+00	-1.10668197e-03	0.00000000e+00	1.39058215e-02
4.80000000e+00	-3.39411137e+00	1.99976789e+00	5.50533954e-08	-9.99999772e-01	-1.04967971e-03	1.81438764e-08	1.41421379e+00	0.00000000e+00	2.13209192e-02	0.00000000e+00	-1.69686179e-03	0.00000000e+00	2.13209192e-02
4.85000000e+00	-3.42946670e+00	1.99976460e+00	5.52419175e-08	-9.99999837e-01	8.88087286e-04	1.29825931e-08	1.41421373e+00	0.00000000e+00	2.30028231e-02	0.00000000e+00	-1.83072197e-03	0.00000000e+00	2.30028231e-02
