tfwhm	phi	r	period	raio_max	px_mean	x_f	eta
650	0.00000000000000e+00	1.00000000000000e+00	2.70000475111711e+02	4.71223317585818e-01	-9.61115720929067e-01	-1.33259277000000e+03	3.04276306058870e+01
660	0.00000000000000e+00	1.00000000000000e+00	2.69890639526246e+02	4.68976055123982e-01	-9.61538432832880e-01	-1.33357601000000e+03	3.04152527142535e+01
670	0.00000000000000e+00	1.00000000000000e+00	2.69912722406330e+02	4.66109652653108e-01	-9.61948684421528e-01	-1.33453289000000e+03	3.04177413384592e+01
680	0.00000000000000e+00	1.00000000000000e+00	2.69798710497868e+02	4.63826720570324e-01	-9.62345422784434e-01	-1.33546623000000e+03	3.04391961671271e+01
690	0.00000000000000e+00	1.00000000000000e+00	2.93448301800580e+02	4.61233496938344e-01	-9.62743621244458e-01	-1.33638469000000e+03	3.31073873812631e+01
700	0.00000000000000e+00	1.00000000000000e+00	2.69712760553864e+02	4.58608653748103e-01	-9.63115736833907e-01	-1.33726666000000e+03	3.04294991333597e+01
710	0.00000000000000e+00	1.00000000000000e+00	2.69692403945339e+02	4.56560337147421e-01	-9.63499647494961e-01	-1.33814734000000e+03	3.04615697765578e+01
720	0.00000000000000e+00	1.00000000000000e+00	2.69662616907153e+02	4.54424572717710e-01	-9.63859751476470e-01	-1.33899631000000e+03	3.04582053512760e+01
730	0.00000000000000e+00	1.00000000000000e+00	2.69510305443487e+02	4.51887484126155e-01	-9.64210282188320e-01	-1.33982663000000e+03	2.84474750826528e+01
740	0.00000000000000e+00	1.00000000000000e+00	2.69518279702496e+02	4.50052178888566e-01	-9.64561556285655e-01	-1.34064632000000e+03	3.04474035655597e+01
750	0.00000000000000e+00	1.00000000000000e+00	2.69391851260776e+02	4.47808064809136e-01	-9.64900592401129e-01	-1.34144262000000e+03	3.04675400739315e+01
760	0.00000000000000e+00	1.00000000000000e+00	2.69317360090321e+02	4.45545210331191e-01	-9.65230328278990e-01	-1.34222022000000e+03	3.04591153101150e+01
770	0.00000000000000e+00	1.00000000000000e+00	2.69338902310860e+02	4.43898457760066e-01	-9.65557750041734e-01	-1.34298990000000e+03	3.04615516810166e+01
780	0.00000000000000e+00	1.00000000000000e+00	2.69231081241670e+02	4.40948673563666e-01	-9.65870769192590e-01	-1.34373688000000e+03	3.04493573895747e+01
790	0.00000000000000e+00	1.00000000000000e+00	2.69247162781686e+02	4.39724948269392e-01	-9.66184146692086e-01	-1.34446890000000e+03	3.04856546791002e+01
800	0.00000000000000e+00	1.00000000000000e+00	2.97763387336163e+02	4.37650489098142e-01	-9.66485487283525e-01	-1.34518821000000e+03	3.37144195267520e+01
810	0.00000000000000e+00	1.00000000000000e+00	2.69164496479426e+02	4.35604153235975e-01	-9.66780232849949e-01	-1.34589386000000e+03	3.04762947426082e+01
