0.00000000000000e+00    	0.00000000000000e+00 	 6.12323399570000e-16  	1.00000000000000e+01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.81000000000000e+00    	8.06457955524191e-04 	 6.04497755189065e-03   9.99998363249384e+00 	2.68549192719643e-03	 5.90503849984905e-02	-3.81781588870162e-05		1.00174555716156e+00
3.84000000000000e+00    	8.81011859024646e-04 	 7.73330346371306e-03   9.99998244587805e+00 	2.27077116137369e-03	 5.33044778756754e-02	-4.09748070051162e-05		1.00142225132169e+00
3.87000000000000e+00    	9.41455417528907e-04 	 9.21658107776481e-03   9.99998118307442e+00 	1.75110828059276e-03	 4.53472924219420e-02	-4.32108773908131e-05		1.00102919296961e+00
3.90000000000000e+00    	9.85539621903528e-04 	 1.04310409881206e-02   9.99997986250159e+00 	1.18905326801413e-03	 3.53673333207580e-02	-4.47866537923895e-05		1.00062593616183e+00
3.93000000000000e+00    	1.01303930016455e-03 	 1.13196800609829e-02   9.99997850418855e+00 	6.56018035819435e-04	 2.36377826167277e-02	-4.57041566803988e-05		1.00027954953381e+00
3.96000000000000e+00    	1.02588790573863e-03 	 1.18348183885665e-02   9.99997712654733e+00 	2.22835633451728e-04	 1.05109040981875e-02	-4.60774449219789e-05		1.00005526391486e+00
3.99000000000000e+00    	1.02801332302523e-03 	 1.19404716307634e-02   9.99997574304143e+00 	-5.04091203269573e-05	 -3.59130314533763e-03	-4.61269324823209e-05		1.00000645104272e+00
4.02000000000000e+00    	1.02487154731988e-03 	 1.16143845983298e-02   9.99997435925757e+00 	-1.23774323682665e-04	 -1.81901903824099e-02	-4.61567919518893e-05		1.00016543655371e+00
4.05000000000000e+00    	1.02272417899602e-03 	 1.08495717087814e-02   9.99997297088583e+00 	1.54700323188258e-05	 -3.27669127945031e-02	-4.65172079995124e-05		1.00053669246922e+00
4.08000000000000e+00    	1.02775294136786e-03 	 9.65523692679848e-03   9.99997156301700e+00 	3.49419935326019e-04	 -4.67815002789584e-02	-4.75560020432097e-05		1.00109371845208e+00
4.11000000000000e+00    	1.04513948694819e-03 	 8.05699791816915e-03   9.99997011098382e+00 	8.30584710510417e-04	 -5.96934928625946e-02	-4.95663894244872e-05		1.00178041776525e+00
4.14000000000000e+00    	1.07825296041427e-03 	 6.09640561985238e-03   9.99996858273391e+00 	1.38754058966882e-03	 -7.09829489507260e-02	-5.27388160013388e-05		1.00251708568583e+00
4.17000000000000e+00    	1.12807732481353e-03 	 3.82981477199926e-03   9.99996694247382e+00 	1.93458819480884e-03	 -8.01706981862160e-02	-5.71246488387868e-05		1.00321039006899e+00
4.20000000000000e+00    	1.19297762839381e-03 	 1.32670670145842e-03   9.99996515511447e+00 	2.38416465284930e-03	 -8.68369527135646e-02	-6.26179966731141e-05		1.00376608057788e+00
4.23000000000000e+00    	1.26885639833839e-03 	 -1.33241771901277e-03   9.99996319091388e+00 	2.66031646964057e-03	 -9.06377297648554e-02	-6.89594417155614e-05		1.00410272387642e+00
