0.00000000000000e+00    	0.00000000000000e+00 	 9.51056516300000e-01  	3.09016994370000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
1.65000000000000e+00    	-1.64181132720849e+00 	 9.51007412852109e-01   3.09016991349672e-01 	-1.00014829782063e+01	 -3.38261690953933e-03	-3.95096147726013e-07		1.00513518098536e+01
1.68000000000000e+00    	-1.67166248781401e+00 	 9.51000507752687e-01   3.09016989940390e-01 	-1.00015783406887e+01	 -1.15008109874506e-03	-5.30167527916678e-07		1.00514461958278e+01
1.71000000000000e+00    	-1.70151364872931e+00 	 9.51000963461097e-01   3.09016988331024e-01 	-1.00014488031137e+01	 1.49726017384338e-03	-5.20967114573873e-07		1.00513173466513e+01
1.74000000000000e+00    	-1.73136480118337e+00 	 9.51009507382381e-01   3.09016986982352e-01 	-1.00010895707733e+01	 4.20508065904561e-03	-3.62489400643778e-07		1.00509606647989e+01
1.77000000000000e+00    	-1.76121593682329e+00 	 9.51025727134107e-01   3.09016986230684e-01 	-1.00005304804361e+01	 6.57228840449778e-03	-1.42317577302439e-07		1.00504056179394e+01
1.80000000000000e+00    	-1.79106704989426e+00 	 9.51048013294927e-01   3.09016986046964e-01 	-9.99983497819534e+00	 8.20781707458554e-03	-7.83506539794502e-09		1.00497147700519e+01
1.83000000000000e+00    	-1.82091813882343e+00 	 9.51073679830130e-01   3.09016985965276e-01 	-9.99909370280398e+00	 8.79163184687887e-03	-8.95692237963172e-08		1.00489776679145e+01
1.86000000000000e+00    	-1.85076920653594e+00 	 9.51099261705398e-01   3.09016985261298e-01 	-9.99841319124902e+00	 8.13085080558814e-03	-4.18410076998242e-07		1.00482999782887e+01
1.89000000000000e+00    	-1.88062025936545e+00 	 9.51120961551974e-01   3.09016983324813e-01 	-9.99790107072635e+00	 6.20175792731092e-03	-8.86269514840260e-07		1.00477890245483e+01
1.92000000000000e+00    	-1.91047130509349e+00 	 9.51135191164683e-01   3.09016980039489e-01 	-9.99764977091657e+00	 3.16980649582418e-03	-1.28334265047719e-06		1.00475375585057e+01
1.95000000000000e+00    	-1.94032235109316e+00 	 9.51139133432297e-01   3.09016975940036e-01 	-9.99772115713722e+00	 -6.17584126458740e-04	-1.40483687504251e-06		1.00476081092607e+01
1.98000000000000e+00    	-1.97017340347125e+00 	 9.51131239913560e-01   3.09016972006270e-01 	-9.99813448715259e+00	 -4.66684907620043e-03	-1.17597283247348e-06		1.00480204519433e+01
2.01000000000000e+00    	-2.00002446747497e+00 	 9.51111581391027e-01   3.09016969147087e-01 	-9.99885974086612e+00	 -8.39976769751387e-03	-7.22761408032591e-07		1.00487445322095e+01
2.04000000000000e+00    	-2.02987554856719e+00 	 9.51081984223080e-01   3.09016967626308e-01 	-9.99981772412540e+00	 -1.12333983067145e-02	-3.35128913841588e-07		1.00497005281237e+01
2.07000000000000e+00    	-2.05972665298893e+00 	 9.51045912814475e-01   3.09016966765629e-01 	-1.00008874904494e+01	 -1.26677412132633e-02	-3.24370086008101e-07		1.00507666905711e+01
