0.00000000000000e+00    	0.00000000000000e+00 	 3.09016994370000e-01  	-9.51056516300000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
3.72000000000000e+00    	-3.70153136557462e+00 	 3.08878983559783e-01   -9.51039861803218e-01 	-9.98601627163217e+00	 -6.49077444586798e-02	3.60311003013697e-04		1.00361712880170e+01
3.75000000000000e+00    	-3.73138155009078e+00 	 3.08694628884668e-01   -9.51038739968533e-01 	-9.98953369805617e+00	 -5.69401505979737e-02	3.88558596094401e-04		1.00396227935280e+01
3.78000000000000e+00    	-3.76123206542411e+00 	 3.08547200545013e-01   -9.51037552968191e-01 	-9.99470673113743e+00	 -4.04702185540114e-02	4.03778115713339e-04		1.00446901715817e+01
3.81000000000000e+00    	-3.79108297956130e+00 	 3.08459385761575e-01   -9.51036340196349e-01 	-1.00008480752579e+01	 -1.74896640738074e-02	4.07135454939705e-04		1.00507347133679e+01
3.84000000000000e+00    	-3.82093420196932e+00 	 3.08446262102549e-01   -9.51035126001019e-01 	-1.00071030777795e+01	 8.98735897833822e-03	4.07082665888343e-04		1.00569474965142e+01
3.87000000000000e+00    	-3.85078552894638e+00 	 3.08512831913708e-01   -9.51033903246692e-01 	-1.00125747568703e+01	 3.53169178321353e-02	4.15227244165410e-04		1.00624500356034e+01
3.90000000000000e+00    	-3.88063674580117e+00 	 3.08652917950978e-01   -9.51032633169122e-01 	-1.00164545797005e+01	 5.77231234355360e-02	4.40069276055064e-04		1.00664141828082e+01
3.93000000000000e+00    	-3.91048773284483e+00 	 3.08849608579855e-01   -9.51031262913272e-01 	-1.00181379504060e+01	 7.28331897710369e-02	4.81964204052529e-04		1.00681871704486e+01
3.96000000000000e+00    	-3.94033851761586e+00 	 3.09077229051913e-01   -9.51029752345840e-01 	-1.00173090914191e+01	 7.81753842681516e-02	5.32244688881386e-04		1.00674025004972e+01
3.99000000000000e+00    	-3.97018924262697e+00 	 3.09304613295865e-01   -9.51028095900293e-01 	-1.00139873694331e+01	 7.25690331464024e-02	5.77340995322080e-04		1.00640553274045e+01
4.02000000000000e+00    	-4.00004006335001e+00 	 3.09499278723375e-01   -9.51026326821119e-01 	-1.00085331025985e+01	 5.63482271479435e-02	6.06015396058642e-04		1.00585242633185e+01
4.05000000000000e+00    	-4.02989103167807e+00 	 3.09631976611759e-01   -9.51024499901531e-01 	-1.00016139485587e+01	 3.13807638997973e-02	6.15923040982339e-04		1.00515305654268e+01
4.08000000000000e+00    	-4.05974203319637e+00 	 3.09681011949184e-01   -9.51022660478658e-01 	-9.99413374394369e+00	 8.69435177276549e-04	6.15747509658670e-04		1.00440385516433e+01
4.11000000000000e+00    	-4.08959282236622e+00 	 3.09635711954234e-01   -9.51020815908134e-01 	-9.98712646410154e+00	 -3.10480137679109e-02	6.21297983567875e-04		1.00371140959505e+01
4.14000000000000e+00    	-4.11944314758328e+00 	 3.09498488237441e-01   -9.51018925924429e-01 	-9.98162134031426e+00	 -5.98539940551163e-02	6.47217200733839e-04		1.00317669181910e+01
4.17000000000000e+00    	-4.14929290436278e+00 	 3.09285095648188e-01   -9.51016919163765e-01 	-9.97849207636868e+00	 -8.12885985923604e-02	6.98607855382034e-04		1.00288041382044e+01
4.20000000000000e+00    	-4.17914223064962e+00 	 3.09022935842439e-01   -9.51014728855419e-01 	-9.97831176069622e+00	 -9.19791559719828e-02	7.67344484790682e-04		1.00287170838348e+01
