0.00000000000000e+00    	0.00000000000000e+00 	 1.00000000000000e+00  	-2.44929359830000e-16    -1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
3.33000000000000e+00    	-2.35466380968744e+00 	 1.00186186641701e+00   1.78971915712819e-05 	-9.91976977912775e-01	 9.76685101807876e-03	9.21570450502873e-06		1.40858571488309e+00
3.36000000000000e+00    	-2.37578697870361e+00 	 1.00196605465793e+00   1.79597953492604e-05 	-9.91318611792211e-01	 -1.62229873049353e-04	-2.52155216070268e-07		1.40808828430757e+00
3.39000000000000e+00    	-2.39690748381199e+00 	 1.00185101216981e+00   1.80354792931224e-05 	-9.91497614698913e-01	 -1.06402977932916e-02	1.09878783956003e-05		1.40825449973061e+00
3.42000000000000e+00    	-2.41803340386826e+00 	 1.00151660711108e+00   1.85689004682739e-05 	-9.92539589963865e-01	 -2.05828071460099e-02	4.18070798219046e-05		1.40909846758255e+00
3.45000000000000e+00    	-2.43917294685110e+00 	 1.00098625497512e+00   1.98878154371620e-05 	-9.94392088920258e-01	 -2.89091090767706e-02	8.26914906874477e-05		1.41055002390298e+00
3.48000000000000e+00    	-2.46033394124827e+00 	 1.00030541347054e+00   2.20523619703498e-05 	-9.96921119194745e-01	 -3.46596292446589e-02	1.18923672056217e-04		1.41246345862069e+00
3.51000000000000e+00    	-2.48152308612594e+00 	 9.99537557735220e-01   2.48036999561099e-05 	-9.99912569481539e-01	 -3.71044409692680e-02	1.36292376019178e-04		1.41463843604026e+00
3.54000000000000e+00    	-2.50274496290248e+00 	 9.98758069200352e-01   2.76426889962878e-05 	-1.00308211507102e+00	 -3.58310924252679e-02	1.27113157328582e-04		1.41684777337493e+00
3.57000000000000e+00    	-2.52400097126802e+00 	 9.98046700211161e-01   3.00160184081012e-05 	-1.00609675739354e+00	 -3.08019714080855e-02	9.40354436428880e-05		1.41886555230687e+00
3.60000000000000e+00    	-2.54528847846214e+00 	 9.97479394175077e-01   3.15404236857941e-05 	-1.00860878349709e+00	 -2.23746167639588e-02	4.98552416057202e-05		1.42049016332686e+00
