0.00000000000000e+00    	0.00000000000000e+00 	 1.54508497190000e+00  	-4.75528258150000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.77000000000000e+00    	-1.66801115424512e-05 	 1.54318629922057e+00   -4.75528006410270e+00 	-2.59309336566168e-04	 5.85589020098110e-03	8.39640933047606e-06		1.00001717923338e+00
1.80000000000000e+00    	-2.39972616929741e-05 	 1.54340559731007e+00   -4.75527980867953e+00 	-2.25169601721901e-04	 8.76790507092721e-03	8.69446454433170e-06		1.00003846272845e+00
1.83000000000000e+00    	-2.99918255102963e-05 	 1.54371199043093e+00   -4.75527953762639e+00 	-1.71296270865562e-04	 1.16435301425342e-02	9.47511881329622e-06		1.00006779831488e+00
1.86000000000000e+00    	-3.40948918167513e-05 	 1.54410259423139e+00   -4.75527923331808e+00 	-9.95354848682662e-05	 1.43624674241746e-02	1.09436707819432e-05		1.00010313992987e+00
1.89000000000000e+00    	-3.58206889192618e-05 	 1.54457082545354e+00   -4.75527887258575e+00 	-1.35555757474441e-05	 1.67991758397046e-02	1.32585553128705e-05		1.00014109638012e+00
1.92000000000000e+00    	-3.48178916917458e-05 	 1.54510631896206e+00   -4.75527842864787e+00 	8.14191513741944e-05	 1.88277670273557e-02	1.64969971285754e-05		1.00017723015097e+00
1.95000000000000e+00    	-3.09089743722398e-05 	 1.54569499861450e+00   -4.75527787397934e+00 	1.79133057772561e-04	 2.03273383566303e-02	2.06277688036838e-05		1.00020659525861e+00
1.98000000000000e+00    	-2.41104215145066e-05 	 1.54631931135238e+00   -4.75527718381241e+00 	2.73038543315430e-04	 2.11875418568110e-02	2.54971338490920e-05		1.00022446837202e+00
2.01000000000000e+00    	-1.46285873659702e-05 	 1.54695862758945e+00   -4.75527633979678e+00 	3.57163521946732e-04	 2.13141659493370e-02	3.08329036089780e-05		1.00022718528671e+00
2.04000000000000e+00    	-2.82915126536231e-06 	 1.54758980443939e+00   -4.75527533322949e+00 	4.26984978041791e-04	 2.06344935550450e-02	3.62693246032427e-05		1.00021296030191e+00
2.07000000000000e+00    	1.08178870212381e-05 	 1.54818790174612e+00   -4.75527416722890e+00 	4.80166027067431e-04	 1.91021947754080e-02	4.13924466109271e-05		1.00018254639740e+00
2.10000000000000e+00    	2.58114250004665e-05 	 1.54872703431428e+00   -4.75527285728912e+00 	5.17014121063284e-04	 1.67015142129296e-02	4.58020817868618e-05		1.00013959524580e+00
2.13000000000000e+00    	4.17004988609061e-05 	 1.54918133715133e+00   -4.75527142981937e+00 	5.40542463779856e-04	 1.34505218673918e-02	4.91829690920774e-05		1.00009060146750e+00
2.16000000000000e+00    	5.81604986801767e-05 	 1.54952601390145e+00   -4.75526991853717e+00 	5.56065338933194e-04	 9.40321318033857e-03	5.13749004890060e-05		1.00004436514895e+00
2.19000000000000e+00    	7.50501996961947e-05 	 1.54973843208170e+00   -4.75526835891877e+00 	5.70326872594912e-04	 4.65027005585373e-03	5.24299369721001e-05		1.00001097645637e+00
2.22000000000000e+00    	9.24365992146529e-05 	 1.54979922257918e+00   -4.75526678127003e+00 	5.90243516155164e-04	 -6.81666950175627e-04	5.26449374673156e-05		1.00000040791428e+00
2.25000000000000e+00    	1.10578161408501e-04 	 1.54969333578080e+00   -4.75526520331091e+00 	6.21421315652723e-04	 -6.43231250606378e-03	5.25597359214708e-05		1.00002088156756e+00
2.28000000000000e+00    	1.29862961789897e-04 	 1.54941100355977e+00   -4.75526362340323e+00 	6.66675512380612e-04	 -1.24116665081163e-02	5.29154292054158e-05		1.00007724537747e+00
2.31000000000000e+00    	1.50705744661347e-04 	 1.54894855604513e+00   -4.75526201563590e+00 	7.24817715086740e-04	 -1.84055110119289e-02	5.45730156269120e-05		1.00016963119990e+00
2.34000000000000e+00    	1.73415986401128e-04 	 1.54830904532550e+00   -4.75526032787455e+00 	7.89973025078674e-04	 -2.41823394215883e-02	5.83993152007181e-05		1.00029266367787e+00
2.37000000000000e+00    	1.98056326217176e-04 	 1.54750263513678e+00   -4.75525848356796e+00 	8.51640004138185e-04	 -2.95015002281846e-02	6.51336762902819e-05		1.00043543922075e+00
