0.00000000000000e+00    	0.00000000000000e+00 	 3.00000000000000e+00  	-7.34788079490000e-16    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.07000000000000e+00    	3.47266434051132e-05 	 2.99412786304274e+00   -7.34792752114432e-16 	1.75055822894379e-03	 -3.61969842074472e-02	-2.30016620125203e-20		1.00065642761131e+00
2.10000000000000e+00    	8.94359966504944e-05 	 2.99310669313242e+00   -7.34793479800265e-16 	1.88960480420396e-03	 -3.16474670697585e-02	-2.54563184843132e-20		1.00050244016606e+00
2.13000000000000e+00    	1.47559353722604e-04 	 2.99224610137939e+00   -7.34794273001185e-16 	1.98016686801100e-03	 -2.54872310162985e-02	-2.73397610972348e-20		1.00032670663424e+00
2.16000000000000e+00    	2.07909378959592e-04 	 2.99159309275925e+00   -7.34795113003360e-16 	2.04110840027177e-03	 -1.78180609622122e-02	-2.85620145948542e-20		1.00016081177976e+00
2.19000000000000e+00    	2.69949426738160e-04 	 2.99119061937483e+00   -7.34795980058953e-16 	2.09647825867909e-03	 -8.81121578481922e-03	-2.91510780305290e-20		1.00004101553121e+00
2.22000000000000e+00    	3.33884295207975e-04 	 2.99107546655184e+00   -7.34796857238975e-16 	2.17099356949453e-03	 1.29378717750937e-03	-2.92713259888040e-20		1.00000319354407e+00
2.25000000000000e+00    	4.00601395004260e-04 	 2.99127620717427e+00   -7.34797734572565e-16 	2.28469567744275e-03	 1.21934977851569e-02	-2.92226411466353e-20		1.00007694765082e+00
2.28000000000000e+00    	4.71449066983291e-04 	 2.99181133731702e+00   -7.34798612832270e-16 	2.44760809520426e-03	 2.35280899506486e-02	-2.94170436109096e-20		1.00027974177333e+00
2.31000000000000e+00    	5.47866702181419e-04 	 2.99268771068861e+00   -7.34799506272211e-16 	2.65537072123558e-03	 3.48920580724425e-02	-3.03329680577276e-20		1.00061206604268e+00
2.34000000000000e+00    	6.30911454560712e-04 	 2.99389937971606e+00   -7.34800443692249e-16 	2.88681066799522e-03	 4.58477173734034e-02	-3.24512962858968e-20		1.00105461732324e+00
2.37000000000000e+00    	7.20752910909603e-04 	 2.99542692639951e+00   -7.34801467393932e-16 	3.10421268225146e-03	 5.59409430865897e-02	-3.61810695082682e-20		1.00156828286932e+00
2.40000000000000e+00    	8.16224221439168e-04 	 2.99723732995055e+00   -7.34802629891809e-16 	3.25668594255564e-03	 6.47184201675383e-02	-4.17856909639325e-20		1.00209734053749e+00
2.43000000000000e+00    	9.14521578766053e-04 	 2.99928437838898e+00   -7.34803988599272e-16 	3.28654367415011e-03	 7.17456164234661e-02	-4.93217291721191e-20		1.00257580004970e+00
2.46000000000000e+00    	1.01113201922192e-03 	 3.00150959727737e+00   -7.34805599059908e-16 	3.13809893498571e-03	 7.66247464256929e-02	-5.86018089523953e-20		1.00293628881885e+00
2.49000000000000e+00    	1.10004377404124e-03 	 3.00384364882591e+00   -7.34807507584262e-16 	2.76781973421609e-03	 7.90121335228758e-02	-6.91905850856885e-20		1.00312042052284e+00
2.52000000000000e+00    	1.17425744618800e-03 	 3.00620815249801e+00   -7.34809744335510e-16 	2.15444807990385e-03	 7.86345444407959e-02	-8.04388028145624e-20		1.00308924489596e+00
2.55000000000000e+00    	1.22657451924683e-03 	 3.00851789166736e+00   -7.34812317964147e-16 	1.30751260498788e-03	 7.53041938432827e-02	-9.15554794471901e-20		1.00283220490748e+00
2.58000000000000e+00    	1.25059615387991e-03 	 3.01068339152925e+00   -7.34815212815415e-16 	2.72673147489084e-04	 6.89321325489966e-02	-1.01712799897195e-19		1.00237304096249e+00
2.61000000000000e+00    	1.24182343764650e-03 	 3.01261386893027e+00   -7.34818389522229e-16 	-8.67459811470634e-04	 5.95396111961055e-02	-1.10172848477041e-19		1.00177129015954e+00
2.64000000000000e+00    	1.19871421962591e-03 	 3.01422055161827e+00   -7.34821789446705e-16 	-1.99797198173408e-03	 4.72667661846806e-02	-1.16420265126833e-19		1.00111844408022e+00
2.67000000000000e+00    	1.12352725008134e-03 	 3.01542033220067e+00   -7.34825342942515e-16 	-2.98205638169877e-03	 3.23776766254373e-02	-1.20280982252238e-19		1.00052846366504e+00
2.70000000000000e+00    	1.02278000236309e-03 	 3.01613965799572e+00   -7.34828980795728e-16 	-3.67662519494293e-03	 1.52606097340123e-02	-1.22005364317022e-19		1.00012319430272e+00
2.73000000000000e+00    	9.07171946331572e-04 	 3.01631847088007e+00   -7.34832647527183e-16 	-3.95155130532506e-03	 -3.57774652496621e-03	-1.22295571326853e-19		1.00001420741303e+00
2.76000000000000e+00    	7.90886971750388e-04 	 3.01591392346552e+00   -7.34836314632137e-16 	-3.70998349389884e-03	 -2.35249470370521e-02	-1.22262844913057e-19		1.00028355335406e+00
