0.00000000000000e+00    	0.00000000000000e+00 	 -9.27050983120000e-01  	2.85316954890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.61000000000000e+00    	-5.48860414421171e-05 	 -9.25995621577586e-01   2.85317633424943e+00 	5.73674812633232e-04	 4.93364942637295e-03	2.46045309470481e-05		1.00001233522634e+00
2.64000000000000e+00    	-3.62072868150650e-05 	 -9.25862675079372e-01   2.85317709424127e+00 	6.69008330964266e-04	 3.89104380536680e-03	2.59733770354392e-05		1.00000779420395e+00
2.67000000000000e+00    	-1.49195264664554e-05 	 -9.25764339368179e-01   2.85317788727697e+00 	7.46988269812484e-04	 2.63092330929618e-03	2.68091563098396e-05		1.00000374022684e+00
2.70000000000000e+00    	8.40344203340410e-06 	 -9.25706666820385e-01   2.85317869803238e+00 	8.04145025302385e-04	 1.18647305998785e-03	2.71731358154502e-05		1.00000102755243e+00
2.73000000000000e+00    	3.30908847955854e-05 	 -9.25694571927826e-01   2.85317951452729e+00 	8.37497184536764e-04	 -3.99779268487147e-04	2.72266079536016e-05		1.00000043098305e+00
2.76000000000000e+00    	5.83905581511510e-05 	 -9.25731565791839e-01   2.85318033100997e+00 	8.44601758924726e-04	 -2.07702902202095e-03	2.72205160034185e-05		1.00000251406816e+00
2.79000000000000e+00    	8.34855813709760e-05 	 -9.25819528611148e-01   2.85318115029666e+00 	8.23601906567383e-04	 -3.78765472159699e-03	2.74696117982974e-05		1.00000751267326e+00
2.82000000000000e+00    	1.07512878435272e-04 	 -9.25958531591065e-01   2.85318198512583e+00 	7.73285378210949e-04	 -5.46903813094607e-03	2.83131670335383e-05		1.00001525445865e+00
2.85000000000000e+00    	1.29583675492969e-04 	 -9.26146718388847e-01   2.85318285818432e+00 	6.93164400120083e-04	 -7.05569317440676e-03	3.00666654131321e-05		1.00002513177773e+00
2.88000000000000e+00    	1.48806784902140e-04 	 -9.26380254401037e-01   2.85318380062746e+00 	5.83582232145538e-04	 -8.48163745805088e-03	3.29709117331854e-05		1.00003613926161e+00
2.91000000000000e+00    	1.64315451368983e-04 	 -9.26653349952142e-01   2.85318484912901e+00 	4.45843808209462e-04	 -9.68292686140857e-03	3.71462333283372e-05		1.00004697851108e+00
2.94000000000000e+00    	1.75298325709322e-04 	 -9.26958360843926e-01   2.85318604173296e+00 	2.82358770841165e-04	 -1.06002628871908e-02	4.25596244042489e-05		1.00005622197508e+00
2.97000000000000e+00    	1.81034650174041e-04 	 -9.27285966871748e-01   2.85318741300165e+00 	9.67763131458708e-05	 -1.11815746644233e-02	4.90116348273913e-05		1.00006251773565e+00
3.00000000000000e+00    	1.80933015317769e-04 	 -9.27625425915728e-01   2.85318898912764e+00 	-1.05915825230757e-04	 -1.13844730393283e-02	5.61475481834180e-05		1.00006480819849e+00
3.03000000000000e+00    	1.74572159039853e-04 	 -9.27964898173901e-01   2.85319078376570e+00 	-3.19359538315989e-04	 -1.11784732774706e-02	6.34941391945375e-05		1.00006253018841e+00
3.06000000000000e+00    	1.61741342649779e-04 	 -9.28291832117219e-01   2.85319279532305e+00 	-5.35892105708343e-04	 -1.05468856754142e-02	7.05194405055580e-05		1.00005576292064e+00
3.09000000000000e+00    	1.42477004472101e-04 	 -9.28593400899074e-01   2.85319500630952e+00 	-7.46733718968288e-04	 -9.48827993859907e-03	7.67090187095404e-05		1.00004529445006e+00
3.12000000000000e+00    	1.17091816196785e-04 	 -9.28856975329877e-01   2.85319738510204e+00 	-9.42309638461913e-04	 -8.01743961681301e-03	8.16488711418305e-05		1.00003258644506e+00
3.15000000000000e+00    	8.61920948961665e-05 	 -9.29070617222578e-01   2.85319989014463e+00 	-1.11270427309483e-03	 -6.16573728034734e-03	8.51028111690704e-05		1.00001963064207e+00
3.18000000000000e+00    	5.06798600503092e-05 	 -9.29223575036552e-01   2.85320247622793e+00 	-1.24822643375418e-03	 -3.98087948218807e-03	8.70716085147623e-05		1.00000870648817e+00
3.21000000000000e+00    	1.17367146554619e-05 	 -9.29306762423378e-01   2.85320510212541e+00 	-1.34004687139076e-03	 -1.52599272933183e-03	8.78224929369624e-05		1.00000206604397e+00
3.24000000000000e+00    	-2.92118608509000e-05 	 -9.29313199649358e-01   2.85320773856559e+00 	-1.38085370909870e-03	 1.12195276745542e-03	8.78809410071826e-05		1.00000158662776e+00
3.27000000000000e+00    	-7.05514020167934e-05 	 -9.29238398071559e-01   2.85321037534774e+00 	-1.36546122059350e-03	 3.87435672654101e-03	8.79816568713233e-05		1.00000844139695e+00
3.30000000000000e+00    	-1.10550126343192e-04 	 -9.29080668980080e-01   2.85321302640421e+00 	-1.29130482713121e-03	 6.63378566666469e-03	8.89817260974506e-05		1.00002284098823e+00
3.33000000000000e+00    	-1.47442993980876e-04 	 -9.28841340231127e-01   2.85321573179740e+00 	-1.15876150616084e-03	 9.29727000710604e-03	9.17452114731296e-05		1.00004389422415e+00
3.36000000000000e+00    	-1.79522154135815e-04 	 -9.28524867141343e-01   2.85321855600394e+00 	-9.71250107728414e-04	 1.17599918642069e-02	9.70139766331215e-05		1.00006962264991e+00
3.39000000000000e+00    	-2.05226729053488e-04 	 -9.28138827959250e-01   2.85322158234595e+00 	-7.35089030691512e-04	 1.39192317063916e-02	1.05283289824554e-04		1.00009714350744e+00
3.42000000000000e+00    	-2.23224636087259e-04 	 -9.27693798659768e-01   2.85322490401176e+00 	-4.59116652677073e-04	 1.56784255090157e-02	1.16701985031339e-04		1.00012301115108e+00
3.45000000000000e+00    	-2.32479777644290e-04 	 -9.27203106558071e-01   2.85322861268298e+00 	-1.54109141303833e-04	 1.69511743291886e-02	1.31015190410433e-04		1.00014368129072e+00
3.48000000000000e+00    	-2.32299405961634e-04 	 -9.26682467038951e-01   2.85323278625855e+00 	1.67943404942582e-04	 1.76650456336048e-02	1.47562868652130e-04		1.00015603973431e+00
3.51000000000000e+00    	-2.22358633393236e-04 	 -9.26149512314507e-01   2.85323747745782e+00 	4.94622209895538e-04	 1.77650099394216e-02	1.65340122988513e-04		1.00015792131375e+00
