y	z	phi	r	period	thetamin	thetamax
3.29910597260000e+00	5.81721395180000e-01	1.74532925197722e-01	3.35000000000823e+00	1.40000000000000e+03	3.13060197434489e+00	1.51229744477965e-02
3.34834636020000e+00	5.90403804070000e-01	1.74532925202259e-01	3.39999999995955e+00	1.58000000000000e+03	3.13342541126874e+00	1.68609404356842e-02
7.24444369720000e-01	1.94114283830000e-01	2.61799387802050e-01	7.50000000003895e-01	1.02400000000000e+04	2.90538809645207e+00	1.84279169688630e-01
7.72740661030000e-01	2.07055236080000e-01	2.61799387797120e-01	7.99999999998266e-01	9.80000000000000e+03	2.90528038009949e+00	2.06593244452051e-01
8.21036952350000e-01	2.19996188340000e-01	2.61799387801090e-01	8.50000000004885e-01	9.00000000000000e+03	2.90381415484733e+00	2.10696722644517e-01
8.69333243660000e-01	2.32937140590000e-01	2.61799387796761e-01	8.99999999999257e-01	8.70000000000000e+03	2.90526111788014e+00	2.11468448594002e-01
9.17629534970000e-01	2.45878092850000e-01	2.61799387803056e-01	9.49999999996217e-01	8.28000000000000e+03	2.90418641445571e+00	2.05706381818509e-01
9.65925826290000e-01	2.58819045100000e-01	2.61799387796473e-01	1.00000000000025e+00	7.94000000000000e+03	2.90430979912432e+00	2.07777996495406e-01
1.01422211760000e+00	2.71759997360000e-01	2.61799387802182e-01	1.04999999999721e+00	7.60000000000000e+03	2.90531596117873e+00	2.13894005577766e-01
1.06251840890000e+00	2.84700949610000e-01	2.61799387800944e-01	1.09999999998192e+00	7.40000000000000e+03	2.90664993054742e+00	2.07559413115114e-01
1.11081470020000e+00	2.97641901870000e-01	2.61799387808213e-01	1.14999999996922e+00	7.04000000000000e+03	2.90796685404404e+00	2.09633689196512e-01
1.15911099150000e+00	3.10582854120000e-01	2.61799387806826e-01	1.19999999995393e+00	6.88000000000000e+03	2.90868399095637e+00	2.09462304700128e-01
1.20740728290000e+00	3.23523806380000e-01	2.61799387792573e-01	1.25000000003783e+00	6.62000000000000e+03	2.90939718029340e+00	2.09205006040977e-01
1.25570357420000e+00	3.36464758630000e-01	2.61799387791894e-01	1.30000000002254e+00	6.52000000000000e+03	2.91148934271591e+00	2.11160129444083e-01
1.30399986550000e+00	3.49405710890000e-01	2.61799387798421e-01	1.35000000000984e+00	6.36000000000000e+03	2.91252676659993e+00	2.08523842685268e-01
1.35229615680000e+00	3.62346663140000e-01	2.61799387797583e-01	1.39999999999455e+00	6.28000000000000e+03	2.91478145452839e+00	2.08981103726289e-01
